Наименование,Оценка,Количество оценок,Адрес,Координаты объекта,Количество отзывов,Автор,Статус автора,Оценка автора,Дата,Текст,Like,Dislike,source,Оценка_автора_число,clean_text,review_length,category,sentiment,issue_type,delivery_speed
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Валентина Кононова,1 отзыв,1 звезда,2 года назад,"Боже мой,как к вам попасть????У вас там столько собак,я уже подъезжаю третий раз,но увы,они не пускают....",,,Google,1.0,боже мойкак к вам попастьу вас там столько собакя уже подъезжаю третий разно увыони не пускают,106,Корпусная мебель,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Маша Калинина,Местный эксперт · 43 отзыва · 151 фото,4 звезды,4 года назад,"Большой выбор диванов, делают на заказ. Выбор ткани на любой вкус.",1.0,,Google,4.0,большой выбор диванов делают на заказ выбор ткани на любой вкус,66,Мягкая мебель,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Александр Терещенко,Местный эксперт · 107 отзывов · 46 фото,5 звезд,4 года назад,Мне здесь понравилось. Большой выбор диванов по доступным ценам.,1.0,,Google,5.0,мне здесь понравилось большой выбор диванов по доступным ценам,64,Мягкая мебель,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Оля Колотыгина,1 отзыв · 6 фото,5 звезд,5 лет назад,"Отличный магазиг, большой ассортимент мебели. Удобная парковка",1.0,,Google,5.0,отличный магазиг большой ассортимент мебели удобная парковка,62,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Николай Марчев,Местный эксперт · 18 отзывов · 11 фото,3 звезды,6 лет назад,"Много места, много мебели, а выбрать нечего! Глаза разбегаются, а так себе.",,,Google,3.0,много места много мебели а выбрать нечего глаза разбегаются а так себе,75,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,User Name,3 отзыва · 1 фото,5 звезд,6 лет назад,"Там есть Егорка, он даёт нам кипяток, чтобы мы не откинулись без пищи богов - доширака",,,Google,5.0,там есть егорка он даёт нам кипяток чтобы мы не откинулись без пищи богов доширака,86,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Viktor K,Местный эксперт · 670 отзывов · 2 478 фото,5 звезд,5 лет назад,"Диваны мягкие, цвены средние, качество еще не проверено.",,,Google,5.0,диваны мягкие цвены средние качество еще не проверено,56,Мягкая мебель,neutral,Качество,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Антон Останин,Местный эксперт · 111 отзывов · 577 фото,5 звезд,6 лет назад,"Большой выбор мебели. Много фабрик, доступные цены",2.0,,Google,5.0,большой выбор мебели много фабрик доступные цены,50,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Валентина Гаврилова,4 отзыва,5 звезд,2 года назад,"Отличный магазин, огромный выбор,  цены норм.",,,Google,5.0,отличный магазин огромный выбор цены норм,45,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Nikita Fetisov,1 отзыв,5 звезд,5 лет назад,"консультанты доброжелательные, общительные, выбор мебели на уровне, цены не высокие.",,,Google,5.0,консультанты доброжелательные общительные выбор мебели на уровне цены не высокие,84,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Ирина Варфоломеева,Местный эксперт · 14 отзывов · 94 фото,5 звезд,6 лет назад,Были в томских фасадах на 3 этаже. Приятное и качественное обслуживание,,,Google,5.0,были в томских фасадах на этаже приятное и качественное обслуживание,71,Другое,positive,Качество,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Валерий Зайцев,Местный эксперт · 39 отзывов · 2 фото,3 звезды,2 года назад,Большой выбор дешёвой мебели,,,Google,3.0,большой выбор дешёвой мебели,28,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Галина Кривошеева,2 отзыва · 2 фото,5 звезд,5 лет назад,Отличный товар!!Адекватные цены!! Замечательные продавцы!!!,,,Google,5.0,отличный товарадекватные цены замечательные продавцы,59,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Евгений Белоусов,25 отзывов · 21 фото,5 звезд,4 года назад,"Хорошие скидки,обслуживание,персонал радушный,приветливый.",,,Google,5.0,хорошие скидкиобслуживаниеперсонал радушныйприветливый,58,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Зухра Хабичева,Местный эксперт · 50 отзывов · 2 фото,4 звезды,5 лет назад,"Есть много мебели, не дорогой",,,Google,4.0,есть много мебели не дорогой,29,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Глеб Зубков,18 отзывов,4 звезды,5 лет назад,"Товар предлагается от производителя, относительно не дорогой",,,Google,4.0,товар предлагается от производителя относительно не дорогой,60,Другое,neutral,Другое,unknown
